Contagem de erros em chamada ao sistema,
bwaves,14
bzip2,118
cactusADM,6
leslie3D,10
mcf,2
,
,
Contagem de Instruções,
bwaves,2061611140699
bzip2,104870885911
cactusADM,5714909
leslie3D,1550862661347
mcf,92526
